,src,dest
500,USF1,NDUFAF4
501,USF1,NCL
502,USF1,NADK
503,USF1,NAA50
504,USF1,MYL12A
505,USF1,MXD4
506,USF1,MTHFR
507,USF1,MTHFD1L
508,USF1,MSN
509,USF1,MSI2
510,USF1,MRPS2
511,USF1,MRPL40
512,USF1,MRPL27
513,USF1,MORC2
514,USF1,MON1A
515,USF1,MLLT1
516,USF1,MKLN1
517,USF1,MFSD5
518,USF1,MFSD11
519,USF1,MFHAS1
520,USF1,MEGF8
521,USF1,MCOLN1
522,USF1,MCM8
523,USF1,MC1R
524,USF1,MAT2A
525,USF1,MAPRE1
526,USF1,MAPKAPK3
527,USF1,LZTS2
528,USF1,LZTFL1
529,USF1,LYPD1
530,USF1,LYL1
531,USF1,LYAR
532,USF1,LTBP4
533,USF1,LRP3
534,USF1,LRIG3
535,USF1,LONRF3
536,USF1,LIPC
537,USF1,LIN54
538,USF1,LIN28A
539,USF1,LETM2
540,USF1,LAP3
541,USF1,KLF9
542,USF1,KLF6
543,USF1,KLF4
544,USF1,KIF26B
545,USF1,KIAA2013
546,USF1,KIAA0895
547,USF1,KHDRBS1
548,USF1,KDM4C
549,USF1,KDM3A
550,USF1,KCNH4
551,USF1,KANSL1L
552,USF1,KANSL1
553,USF1,ISG20
554,USF1,IRF9
555,USF1,IQCG
556,USF1,IPO4
557,USF1,IPO13
558,USF1,IP6K1
559,USF1,INF2
560,USF1,ILF3
561,USF1,IL34
562,USF1,IGSF9
563,USF1,IGF2R
564,USF1,HSPBAP1
565,USF1,HSPA8
566,USF1,HOXD9
567,USF1,HOXC9
568,USF1,HOXC13
569,USF1,HOXB7
570,USF1,HOXB4
571,USF1,HOXA5
572,USF1,HOXA1
573,USF1,HNRNPF
574,USF1,HMOX1
575,USF1,HES6
576,USF1,HES1
577,USF1,GTF2I
578,USF1,GTF2H1
579,USF1,GPM6B
580,USF1,GPC2
581,USF1,GOLIM4
582,USF1,GNS
583,USF1,GLYR1
584,USF1,GGN
585,USF1,GCLC
586,USF1,GAPDH
587,USF1,G6PC3
588,USF1,FOXP1
589,USF1,FOXD3
590,USF1,FMR1
591,USF1,FFAR2
592,USF1,FES
593,USF1,FCHSD2
594,USF1,FBXO44
595,USF1,FASTK
596,USF1,FASN
597,USF1,FAM3C
598,USF1,FAM184B
599,USF1,FAM118B
600,USF1,ESRP2
601,USF1,EIF4G1
602,USF1,EIF4E
603,USF1,EIF3K
604,USF1,EGLN2
605,USF1,EEF2
606,USF1,EEF1E1
607,USF1,DYM
608,USF1,DVL2
609,USF1,DUSP7
610,USF1,DOHH
611,USF1,DNASE2
612,USF1,DNAJC8
613,USF1,DNAJB9
614,USF1,DLX2
615,USF1,DLG1
616,USF1,DLEU7
617,USF1,DIABLO
618,USF1,DENND2D
619,USF1,DDX3X
620,USF1,DCTPP1
621,USF1,DCAF17
622,USF1,CXorf56
623,USF1,CUTA
624,USF1,CTSF
625,USF1,CTSD
626,USF1,CTSB
627,USF1,CTSA
628,USF1,CTF1
629,USF1,CTBP2
630,USF1,CPEB4
631,USF1,CPEB1
632,USF1,COPS7A
633,USF1,COMTD1
634,USF1,CNPY2
635,USF1,CNNM2
636,USF1,CLCN5
637,USF1,CHTF8
638,USF1,CHRM1
639,USF1,CEBPA
640,USF1,CEACAM6
641,USF1,CDKL3
642,USF1,CDK5
643,USF1,CD3EAP
